"행정구역(시군구)별","성별","연령별","항목","단위","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","여자","5 - 9세","주민등록연앙인구[명]","명","1566437","1521517","1502771","1511816.5","1550985","1590591","1624800","1659214","1672631.5","1658968","1635787.5","1603225","1570116.5","1527102.5","1454623.5","1376485","1307937.5","1226027.5","1152960.5","1129544.5","1126847","1116839.5","1121193","1138230","1144483.5","1137302","1130164.5","1122838","1101642",
"전국","여자","10 - 14세","주민등록연앙인구[명]","명","2001853","1962114.5","1865875.5","1759107.5","1649357","1561767","1516415","1498439.5","1507566","1546139.5","1585383.5","1619442","1653495","1666978","1653961","1631850.5","1600102.5","1567231","1524601","1452667","1375262","1307480.5","1226235.5","1153484","1130276","1127731","1117638","1122007.5","1139095.5",
"전국","여자","15 - 19세","주민등록연앙인구[명]","명","1982524","1925278.5","1925292.5","1950224","1973441","1985411","1946328","1853269.5","1748806.5","1640097","1552906","1508093","1490487","1499893","1539263","1579661.5","1614482.5","1648469.5","1662199","1649307.5","1627421","1596575.5","1564661","1522737","1451429","1374316","1306356.5","1225106.5","1152557",
"전국","여자","20 - 24세","주민등록연앙인구[명]","명","2284464","2252374.5","2198023.5","2119319.5","2047057.5","1970842.5","1913216.5","1914205","1939534","1962199.5","1973861.5","1935446","1843582","1740985","1634016","1548864.5","1505979.5","1489000","1499240.5","1538723","1578375.5","1613095","1647070.5","1660504","1647663","1625826","1594617","1562539","1520708.5",
"전국","여자","25 - 29세","주민등록연앙인구[명]","명","2121284","2177314.5","2208872.5","2254519.5","2287638.5","2276146.5","2245173","2193367","2115080","2040949","1962404.5","1903813","1905467.5","1932496.5","1957995.5","1973735","1938744","1847774.5","1746765","1642256.5","1558881","1517073.5","1499815.5","1508716","1546919.5","1585849.5","1619562.5","1652448.5","1665041.5",
"전국","여자","30 - 34세","주민등록연앙인구[명]","명","2224019","2207804.5","2169386.5","2106594","2069191.5","2103134.5","2158213","2192942","2240687","2273266","2259295","2226341","2175108.5","2099829","2030318.5","1958242","1905463","1908572","1936026","1962312.5","1978039","1943363.5","1853636","1753196","1648854","1565827.5","1523573","1506687.5","1515957",
"전국","여자","35 - 39세","주민등록연앙인구[명]","명","1801101.5","1914903.5","2016731.5","2112525","2183799","2199028","2181139.5","2145928.5","2086780.5","2049912","2082475.5","2136276.5","2169931","2217478","2253058","2246169","2220228.5","2171433.5","2096955","2027689","1955181","1902830","1906997","1935025","1961526","1977219","1941959.5","1852902","1753789.5",
"전국","여자","40 - 44세","주민등록연앙인구[명]","명","1301116","1348620","1447153","1576983.5","1681726.5","1776339","1887255","1989940.5","2086931.5","2158372","2173352","2155583.5","2120782","2063231.5","2029759.5","2068594","2129226.5","2165753.5","2213982","2248909","2240478.5","2213903","2165572.5","2091518","2022653","1950445","1897420","1901417.5","1929716",
"전국","여자","45 - 49세","주민등록연앙인구[명]","명","1089851","1124925","1170604","1207046","1242367.5","1281590.5","1327627","1426411.5","1556191.5","1659723","1753482.5","1863584.5","1964855.5","2061380","2134888","2156500.5","2146752.5","2115794","2060007.5","2026583","2063381","2122496","2158416","2206120","2241023.5","2232480.5","2204698","2156068","2082434.5",
"전국","여자","50 - 54세","주민등록연앙인구[명]","명","1126302","1121036.5","1101841","1078758","1060798","1070621","1105655","1151890.5","1188959.5","1224791.5","1264113.5","1310197","1408058.5","1536721","1640953","1738720.5","1854221.5","1958329","2055637.5","2128758","2148725.5","2137492.5","2106344.5","2050849.5","2017623.5","2054133.5","2111877","2147074","2194596",
"전국","여자","55 - 59세","주민등록연앙인구[명]","명","940241.5","974801.5","996617","1016516","1064481.5","1100492.5","1096287.5","1078986.5","1057538","1040931","1051696.5","1087306","1133969.5","1172009.5","1209075","1250798.5","1299880","1398966.5","1527939","1631898","1728363.5","1842154","1945184.5","2041485.5","2114004.5","2134288.5","2122996.5","2092130","2037429",
"전국","여자","60 - 64세","주민등록연앙인구[명]","명","733278.5","760961","797510","838860.5","874905","907570.5","942499","965511.5","986590.5","1034907","1071386.5","1068771","1053392.5","1034145","1020039.5","1033562.5","1071625","1119059.5","1157215.5","1194716.5","1236338","1284938.5","1383452","1511529.5","1614826","1710723","1823390.5","1925780","2021736.5",
"전국","여자","65 - 69세","주민등록연앙인구[명]","명","552784","578959.5","611195.5","638800","665801","691193.5","719548","756666","798132","834421.5","867423.5","902970","927556.5","950428.5","1000022.5","1038961.5","1039792","1026837.5","1009495","997489.5","1012218","1050738.5","1098590","1136955","1174799","1217045.5","1265899.5","1363812.5","1490906.5",
